"noaa","name","year","origin","destination","count"
"GHCND:USC00020159","ALPINE, AZ","1994","GHCND:USC00020159","GHCND:USC00020159","1"
"GHCND:USC00020159","ALPINE, AZ","1995","GHCND:USC00020159","GHCND:USC00020159","1"
"GHCND:USC00020159","ALPINE, AZ","1996","GHCND:USC00020159","GHCND:USC00020159","1"
"GHCND:USC00020159","ALPINE, AZ","1997","GHCND:USC00020159","GHCND:USC00020159","1"
"GHCND:USC00020159","ALPINE, AZ","1998","GHCND:USC00020159","GHCND:USC00020159","1"
"GHCND:USC00020159","ALPINE, AZ","1999","GHCND:USC00020159","GHCND:USC00020159","1"
"GHCND:USC00020159","ALPINE, AZ","2000","GHCND:USC00020159","GHCND:USC00020159","1"
"GHCND:USC00020159","ALPINE, AZ","2001","GHCND:USC00020159","GHCND:USC00020159","1"
"GHCND:USC00020159","ALPINE, AZ","2002","GHCND:USC00020159","GHCND:USC00020159","1"
"GHCND:USC00020159","ALPINE, AZ","2003","GHCND:USC00020159","GHCND:USC00020159","1"
"GHCND:USC00020159","ALPINE, AZ","2004","GHCND:USC00020159","GHCND:USC00020159","1"
"GHCND:USC00020159","ALPINE, AZ","2005","GHCND:USC00020159","GHCND:USC00020159","1"
"GHCND:USC00020159","ALPINE, AZ","2006","GHCND:USC00020159","GHCND:USC00020159","1"
"GHCND:USC00020159","ALPINE, AZ","2007","GHCND:USC00020159","GHCND:USC00020159","1"
"GHCND:USC00020287","ANVIL RANCH, AZ","1958","GHCND:USC00020287","GHCND:USC00020287","1"
"GHCND:USC00020287","ANVIL RANCH, AZ","1959","GHCND:USC00020287","GHCND:USC00020287","1"
"GHCND:USC00020287","ANVIL RANCH, AZ","1960","GHCND:USC00020287","GHCND:USC00020287","1"
"GHCND:USC00020287","ANVIL RANCH, AZ","1961","GHCND:USC00020287","GHCND:USC00020287","1"
"GHCND:USC00020287","ANVIL RANCH, AZ","1962","GHCND:USC00020287","GHCND:USC00020287","1"
"GHCND:USC00020287","ANVIL RANCH, AZ","1963","GHCND:USC00020287","GHCND:USC00020287","1"
"GHCND:USC00020287","ANVIL RANCH, AZ","1964","GHCND:USC00020287","GHCND:USC00020287","1"
"GHCND:USC00020287","ANVIL RANCH, AZ","1965","GHCND:USC00020287","GHCND:USC00020287","1"
"GHCND:USC00020287","ANVIL RANCH, AZ","1966","GHCND:USC00020287","GHCND:USC00020287","1"
"GHCND:USC00020287","ANVIL RANCH, AZ","1967","GHCND:USC00020287","GHCND:USC00020287","1"
